Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-11-05,Bear's November Movie Challenge,,https://boxd.it/PWjuA,"Bear challenged me to list movies with a ""November"" vibe. Bear gave a subjective trifecta but I've forgotten it (please add it in a comment, thank you!)

My interpretation of these vibes led me to review my watchlist as well as my diary and I sought these qualities:
- Visual: muted/desaturated, bare trees, overcast skies, early darkness
- Emotional: contemplative melancholy, not depression exactly but... reckoning
- Narrative: moral ambiguity, isolation, characters alone with consequences
- Pacing: patient, meditative, space to think

Did I succeed?"

Position,Name,Year,URL,Description
1,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
2,Manchester by the Sea,2016,https://boxd.it/b2L0,
3,The Wind Will Carry Us,1999,https://boxd.it/Uwc,
4,Fargo,1996,https://boxd.it/2aHM,
5,Mulholland Drive,2001,https://boxd.it/297o,
6,In Bruges,2008,https://boxd.it/20n8,
7,The Witch,2015,https://boxd.it/9X0m,
8,A Serious Man,2009,https://boxd.it/1RFW,
9,First Reformed,2017,https://boxd.it/go9C,
10,A Ghost Story,2017,https://boxd.it/fb0K,
11,The Master,2012,https://boxd.it/2cBG,
12,Burning,2018,https://boxd.it/hHUa,
13,No Country for Old Men,2007,https://boxd.it/21ew,
14,Inside Llewyn Davis,2013,https://boxd.it/34Ro,
